"gender","age_group","rgn_nm","bmclub","division","mem_cnt","TOTAL_CNT","mem_rate"
"FEMALE","30대","지방","구독","[BMART, Store]",4323,1446370,"0.2989"
"MALE","20대 이하","지방","미구독","[BMART, Store]",1244,1446370,"0.0860"
"FEMALE","20대 이하","수도권","미구독","[BMART]",70264,1446370,"4.8580"
"MALE","50대 이상","지방","미구독","[Store]",5965,1446370,"0.4124"
"MALE","20대 이하","수도권","미구독","[BMART]",22862,1446370,"1.5806"
"FEMALE","30대","수도권","구독","[BMART]",70853,1446370,"4.8987"
"FEMALE","40대","지방","미구독","[BMART]",14328,1446370,"0.9906"
"MALE","20대 이하","수도권","미구독","[Store]",14389,1446370,"0.9948"
"MALE","20대 이하","수도권","구독","[BMART]",25591,1446370,"1.7693"
"MALE","40대","지방","미구독","[BMART, Store]",864,1446370,"0.0597"
"MALE","20대 이하","지방","구독","[BMART]",9971,1446370,"0.6894"
"MALE","40대","지방","구독","[Store]",10154,1446370,"0.7020"
"FEMALE","20대 이하","수도권","미구독","[BMART, Store]",7987,1446370,"0.5522"
"FEMALE","40대","수도권","구독","[Store]",11818,1446370,"0.8171"
"MALE","30대","지방","구독","[BMART]",9904,1446370,"0.6847"
"FEMALE","50대 이상","지방","미구독","[BMART, Store]",996,1446370,"0.0689"
"FEMALE","50대 이상","지방","구독","[Store]",5261,1446370,"0.3637"
"FEMALE","20대 이하","수도권","미구독","[Store]",25751,1446370,"1.7804"
"MALE","30대","수도권","구독","[BMART, Store]",6042,1446370,"0.4177"
"FEMALE","40대","지방","구독","[BMART]",12844,1446370,"0.8880"
"FEMALE","40대","지방","구독","[Store]",14966,1446370,"1.0347"
"MALE","20대 이하","수도권","구독","[Store]",13167,1446370,"0.9103"
"MALE","20대 이하","수도권","미구독","[BMART, Store]",2365,1446370,"0.1635"
"FEMALE","50대 이상","지방","구독","[BMART, Store]",1086,1446370,"0.0751"
