nps_group,category_type,category_value,unweighted_respondents,weighted_respondents,unweighted_rate(%),weighted_rate(%),difference(%)
Promoter,category,메뉴 가격,9,8.01,1.28,1.22,-0.06
Promoter,sub_category,저렴한 가격,9,8.01,1.28,1.22,-0.06
Promoter,category,적용 가능한 혜택,10,7.21,1.42,1.1,-0.33
Promoter,sub_category,배달 서비스 특성,8,7.05,1.14,1.07,-0.07
Promoter,sub_category,배달 안정성,8,6.97,1.14,1.06,-0.08
Promoter,sub_category,한집배달 선호,10,6.91,1.42,1.05,-0.37
Promoter,sub_category,메뉴 탐색 편의성,10,6.79,1.42,1.03,-0.39
Promoter,sub_category,다른 앱 보다 선호,7,6.53,1.0,0.99,-0.0
Promoter,sub_category,멤버십 비용,9,6.4,1.28,0.97,-0.31
Promoter,sub_category,신뢰,7,5.76,1.0,0.88,-0.12
Promoter,sub_category,멤버십 할인,5,5.69,0.71,0.87,0.15
Promoter,sub_category,라이더 친절,7,5.58,1.0,0.85,-0.15
Promoter,sub_category,비대면 주문 가능,4,5.46,0.57,0.83,0.26
Promoter,sub_category,가독성 및 편의성,7,4.76,1.0,0.72,-0.27
Promoter,sub_category,업주 친절,3,4.58,0.43,0.7,0.27
Promoter,sub_category,리뷰 많음,5,4.49,0.71,0.68,-0.03
Promoter,sub_category,탐색 편의성,5,4.15,0.71,0.63,-0.08
Promoter,sub_category,쿠폰 사용성,4,3.63,0.57,0.55,-0.02
Promoter,sub_category,배달 사고/누락 없음,4,3.58,0.57,0.54,-0.03
Promoter,sub_category,배달팁 할인,4,3.44,0.57,0.52,-0.05
Promoter,sub_category,포인트 적립,5,3.29,0.71,0.5,-0.21
Promoter,sub_category,카테고리,2,3.0,0.28,0.46,0.17
Promoter,sub_category,기능 만족,5,3.04,0.71,0.46,-0.25
Promoter,sub_category,다양성,4,2.99,0.57,0.46,-0.11
Promoter,sub_category,함께 주문 가능,2,2.92,0.28,0.44,0.16
Promoter,sub_category,요청사항 반영,4,2.91,0.57,0.44,-0.13
Promoter,sub_category,유용성,4,2.71,0.57,0.41,-0.16
Promoter,sub_category,깔끔한 포장,4,2.68,0.57,0.41,-0.16
Promoter,sub_category,제휴 혜택,3,2.6,0.43,0.4,-0.03
Promoter,sub_category,검색 편의성,4,2.65,0.57,0.4,-0.17
Promoter,sub_category,1인분 메뉴,6,2.59,0.85,0.39,-0.46
Promoter,sub_category,기능/서비스 다양성,3,2.54,0.43,0.39,-0.04
Promoter,sub_category,할인 혜택,4,2.31,0.57,0.35,-0.22
Promoter,sub_category,리뷰 확인 편의성,4,2.23,0.57,0.34,-0.23
Promoter,sub_category,가게/메뉴 정보,3,2.18,0.43,0.33,-0.1
Promoter,sub_category,간편결제 가능,2,2.18,0.28,0.33,0.05
Promoter,sub_category,필터,1,2.13,0.14,0.32,0.18
Promoter,sub_category,멤버십 혜택 선호,5,2.11,0.71,0.32,-0.39
Promoter,sub_category,배달 시간 정보,2,2.0,0.28,0.3,0.02
Promoter,sub_category,정확함,2,1.89,0.28,0.29,0.0
Promoter,sub_category,필요성,2,1.82,0.28,0.28,-0.01
Promoter,sub_category,원하는 가게 있음,2,1.59,0.28,0.24,-0.04
Promoter,sub_category,경쟁력 및 시장 비교,2,1.52,0.28,0.23,-0.05
Promoter,sub_category,고객 서비스,2,1.43,0.28,0.22,-0.07
Promoter,sub_category,주문내역 확인 편의성,2,1.43,0.28,0.22,-0.07
Promoter,category,최소주문금액,2,1.33,0.28,0.2,-0.08
Promoter,sub_category,최소주문금액 저렴,2,1.33,0.28,0.2,-0.08
Promoter,category,앱에서만 주문 가능,1,1.23,0.14,0.19,0.04
Promoter,sub_category,배달 운영 시간,1,1.23,0.14,0.19,0.04
Promoter,sub_category,앱 구동/안정성,1,1.23,0.14,0.19,0.04
Promoter,sub_category,다른 앱에 없는 가게,1,1.23,0.14,0.19,0.04
Promoter,sub_category,시인성,1,1.1,0.14,0.17,0.02
Promoter,sub_category,비대면 배달,3,1.12,0.43,0.17,-0.26
Promoter,sub_category,결제수단 다양,2,1.01,0.28,0.15,-0.13
Promoter,sub_category,가격 투명성,1,0.94,0.14,0.14,0.0
Promoter,sub_category,배달 방법 다양,1,0.95,0.14,0.14,0.0
Promoter,sub_category,리뷰 이벤트,1,0.87,0.14,0.13,-0.01
Promoter,sub_category,라이더 전문성,1,0.83,0.14,0.13,-0.02
Promoter,sub_category,배달 지연 쿠폰/포인트,1,0.83,0.14,0.13,-0.02
Promoter,sub_category,원하는 가게 없음,1,0.77,0.14,0.12,-0.03
Promoter,sub_category,조리 속도,2,0.8,0.28,0.12,-0.16
Promoter,sub_category,추천 이벤트,1,0.45,0.14,0.07,-0.07
Promoter,sub_category,경제성,1,0.4,0.14,0.06,-0.08
Promoter,sub_category,재주문 편의성,1,0.43,0.14,0.06,-0.08
Promoter,sub_category,자체배달,1,0.35,0.14,0.05,-0.09
Promoter,sub_category,요청사항 입력 편의성,1,0.35,0.14,0.05,-0.09
Detractor,category,기타,432,472.17,42.19,43.95,1.76
Detractor,sub_category,기타,75,88.53,7.32,8.24,0.92
Detractor,category,없음,132,149.28,12.89,13.89,1.0
Detractor,sub_category,없음,132,149.28,12.89,13.89,1.0
High-Risk,category,기타,117,138.24,50.21,52.64,2.43
High-Risk,sub_category,기타,11,12.14,4.72,4.62,-0.1
High-Risk,category,없음,4,2.95,1.72,1.12,-0.59
High-Risk,sub_category,없음,4,2.95,1.72,1.12,-0.59
Passive,category,기타,229,242.79,33.53,35.86,2.33
Passive,sub_category,기타,16,24.46,2.34,3.61,1.27
Promoter,category,기타,221,221.17,31.48,33.63,2.15
Promoter,sub_category,기타,19,21.94,2.71,3.34,0.63
Promoter,category,없음,22,19.12,3.13,2.91,-0.23
Promoter,sub_category,없음,22,19.12,3.13,2.91,-0.23
